,PGC,re,amp,n
560,PGC12204,42.343,0.013122108776292168,0.243
561,PGC12206,,,
562,PGC12209,20.232,0.008783835000349424,1.074
563,PGC12243,,,
564,PGC12248,15.197,0.035237066449115784,0.339
565,PGC12250,35.367,0.0001089074839837922,2.561
566,PGC12253,,fit fail,fit fail
567,PGC12254,8.5,0.0020860473970438016,0.341
568,PGC12263,21.241,0.0002529723943183042,0.723
569,PGC12270,,fit fail,fit fail
570,PGC12271,,,
571,PGC12279,,,
572,PGC12285,43.55,0.030955692864182576,0.587
573,PGC12286,130.0,0.04758463428231723,1.579
574,PGC12292,,,
575,PGC12294,23.838,0.00027903645798958124,0.795
576,PGC12296,,fit fail,fit fail
577,PGC12309,,,
578,PGC1231,20.682,0.017821148288446668,0.57
579,PGC12316,,,
580,PGC12319,88.559,2.9837500414400502e-05,3.391
581,PGC12332,21.85,0.0015556899770145945,0.794
582,PGC12342,,fit fail,fit fail
583,PGC12347,,,
584,PGC12349,,,
585,PGC12350,,,
586,PGC12353,,,
587,PGC12355,,,
588,PGC12367,39.829,9.542044871949303e-05,4.015
589,PGC12368,28.683,0.00908902061439952,0.665
590,PGC12371,,,
591,PGC1237172,18.327,0.007715889293480217,0.712
592,PGC12373,32.502,0.00039973390435042635,1.523
593,PGC12374,29.098,0.00633292537373149,2.185
594,PGC12379,18.835,0.030845607489490844,0.378
595,PGC12384,,,
596,PGC12390,63.168,0.005745620720770573,0.885
597,PGC12391,,,
598,PGC12394,43.16,0.005111802297830599,2.643
599,PGC12395,,,
600,PGC12404,,,
601,PGC12405,,,
602,PGC12412,112.454,0.009074571077599533,0.128
603,PGC12423,,,
604,PGC1242381,15.676,0.0018800793165327054,1.53
605,PGC12429,,fit fail,fit fail
606,PGC12431,,,
607,PGC12434,127.95,8.226802123938864e-05,4.335
608,PGC12437,,fit fail,fit fail
609,PGC12439,48.081,0.0015112221362570241,1.438
610,PGC12452,43.196,0.00021341372926614676,1.809
611,PGC12456,,fit fail,fit fail
612,PGC12458,,,
613,PGC12459,,fit fail,fit fail
614,PGC12460,,,
615,PGC12465,15.107,0.00517892601890996,1.423
616,PGC12466,18.53,0.06105056114476666,0.433
617,PGC12471,16.766,0.001023112657311891,0.919
618,PGC12480,,,
619,PGC12490,27.65,0.008014268298417396,2.596
620,PGC12494,,,
621,PGC12511,10.231,0.0006243731548161765,0.854
622,PGC12519,,,
623,PGC1252,11.453,0.013377577138860751,0.864
624,PGC12521,,,
625,PGC12528,,,
626,PGC12531,23.803,0.03288590446331345,0.466
627,PGC125321,,,
628,PGC12544,40.174,0.00011547866886976657,3.669
629,PGC1254649,19.153,0.0028131738503751782,2.352
630,PGC12553,25.362,0.008833116026274334,0.564
