col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2,Re_mine_w3,mse_w3,n_mine_w3,Re_mine_w4,mse_w4,n_mine_w4
ESO079-003,15.6,1952,ESO079-003,0.0247069280594587,10.3421135,33.1,LT,ESO079-003,,11.44,0.14,130.93,1.112,23.78,,90.0,b'SBb ',3.200000047683716,,,,,,,,,,,,,,,,,,,,,,,
ESO079-005,25.9,2445,ESO079-005,0.0162113346159458,9.040938,21.2,LT,ESO079-005,,13.64,0.366,7.52,0.835,30.14,0.7445356067726134,61.59000015258789,b'SBcd',7.0,29.8944,0.0351507790212051,1.0082155855277242,0.8663830014986084,29.894,0.03515077902120509,1.0082290760687764,0.8663945942329564,0.773,3.497737556561086,0.0013839471582901346,0.688,33.806,1.1454517587554602,28.391,0.017049721592414965,0.736,25.542,0.06799525660734249,0.394,26.098,0.1696616855859861,0.221
ESO079-007,20.1,2919,ESO079-007,0.0133911771699786,8.949574,18.0,LT,ESO079-007,,13.36,0.743,3.7,1.118,24.27,0.3323000177470068,38.900001525878906,b'SBc ',5.300000190734863,21.6801,0.058886512381917014,1.1194597810895706,0.9271174948455035,21.68,0.05888651238191706,1.1194649446494465,0.9271217712177122,0.778,1.7681818181818183,0.005272757382196929,0.59,20.676,1.2353980283776853,34.66,0.02609783469037166,1.672,17.513,0.13835295417630372,0.546,17.549,0.2090878693827561,0.44
ESO085-014,36.9,16299,ESO085-014,0.0239231679588556,8.681948,11.9,LT,ESO085-014,,12.98,0.298,76.28,1.357,52.0,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,,,,,,,
ESO085-030,10.9,16567,ESO085-030,0.0113453706726431,8.855753,13.1,,ESO085-030,,13.14,0.498,147.17,1.377,12.16,0.2398081965115821,73.27999877929688,b'S0-a',-0.20000000298023224,16.7697,0.40681425684923744,0.7251173246987126,0.6499818124355236,16.77,0.40681425684923744,0.7251043530113298,0.6499701848539058,0.615,0.968503937007874,0.005845554763307766,0.676,22.846,0.887066913514943,16.703,0.19972717674076795,0.601,19.13,1.0536212341734406,0.62,18.905,1.8944712866260454,0.635
ESO085-047,36.2,16780,ESO085-047,0.0096787391230463,8.178535,15.0,LT,ESO085-047,,14.84,0.479,32.67,1.409,37.53,1.0934298075646558,78.0999984741211,b'SBm ',9.0,57.8547,0.001473933713783469,0.6486940559712522,0.6257054310194332,57.855,0.0014739337137834685,0.6486906922478611,0.6257021865007347,1.071,2.0438931297709924,0.0003608364547300655,0.89,42.232,2.434052757793765,105.706,0.0003052818086217133,1.699,45.283,0.001102015198477209,1.355,23.769,0.008358954169615077,0.524
ESO107-016,22.3,66445,ESO107-016,0.0166655164211988,8.924263,31.5,LT,ESO107-016,,14.99,0.184,86.17,1.261,31.65,,90.0,b'SBcd',7.300000190734863,,,,,,,,,,,,,,,,,,,,,,,
ESO114-007,23.3,6513,ESO114-007,0.0119348997250199,8.717782000000001,25.0,LT,ESO114-007,,14.62,0.593,68.93,1.134,25.12,0.9603459939204032,35.529998779296875,b'SBm ',9.0,27.4536,0.004916105672262663,0.9149983972958009,0.8487047236063758,27.454,0.004916105672262659,0.9149850659284622,0.8486923581263204,1.133,1.6637298091042583,,,,1.1159708954920533,51.342,0.006331248067043491,2.4,21.959,0.004282885848632658,0.696,24.601,0.05306414602347613,0.681
ESO115-021,73.8,9962,ESO115-021,0.0413826890289783,8.341255,5.06,LT,ESO115-021,,13.16,0.194,42.42,1.228,86.79,,90.0,b'SBd ',7.599999904632568,,,,,,,,,,,,,,,,,,,,,,,
ESO116-012,,11984,ESO116-012,0.0299101565033197,10.636776,22.0,LT,ESO116-012,No fit,,,,,,,82.91000366210938,b'SBcd',6.699999809265137,543.6729,0.05511201132958049,,,543.673,0.05511201132958044,,,2.667,1.932608695652174,0.01101188612941484,0.981,52.996,6.58048390805989,2216.919,0.024096011859551677,3.537,175.249,0.14785620942424116,1.737,82.619,0.400042272145809,1.38
